Primary Key,Year,Company Market Cap,ESG Controversies Score,ESG Score,Independent Board Members,Return on Assets - Actual,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name
ONON.N_2021,2021,10295345614,,,0.00%,,,0.0968122,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2020,2020,,,,0.00%,,,0.3135498,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2019,2019,,,,0.00%,,,,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2018,2018,,,,0.00%,,,,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2017,2017,,,,0.00%,,,,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2016,2016,,,,0.00%,,,,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
8016.T_2025,2025,567852065.2,,,33.33%,,,0.6178177,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2024,2024,570871376.6,100,38.30214956,42.86%,,0.086,0.4934996,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2023,2023,487947875.3,100,32.96286276,42.86%,,0.043,0.3766883,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2022,2022,348899567.8,100,34.27354943,28.57%,0.003,0.139,0.5134163,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2021,2021,362433167.5,100,26.46825796,33.33%,-0.094,-0.316,1.5409938,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2020,2020,257709703.6,100,21.291529,28.57%,-0.015,-0.49642,0.7594857,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2019,2019,844736150.7,100,17.01430189,28.57%,0.01721,0.02955,0.4095925,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2018,2018,740178160.8,100,11.43211131,28.57%,0.022,0.033,0.2807103,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2017,2017,1212582179,100,10.76986819,25.00%,0.019,0.028,0.2801231,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2016,2016,1119333345,100,10.30341228,25.00%,0.017,0.024,0.4123084,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
8016.T_2015,2015,,100,12.4077732,,,,,8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
OXM.N_2025,2025,433213350.1,100,39.92217169,90.91%,,0.17879,0.0499631,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
OXM.N_2024,2024,1194748156,100,47.33113896,90.91%,,0.2891,0.0522433,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
OXM.N_2023,2023,1415836824,100,59.49445675,91.67%,,0.2184,0.2265285,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
OXM.N_2022,2022,1372924783,100,71.46299613,90.91%,,0.29519,0.0059094,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
OXM.N_2021,2021,1508434096,100,65.69805182,90.91%,,,,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
OXM.N_2020,2020,905627470.6,100,7.521700969,90.00%,,,,OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing
