Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
JAND.PSX,Janana De Malucho Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0.2430799,
JASC.BO,Jasch Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,,,,,,,,,,,,,,,0.3518733,
JATE.BO,Jagjanani Textiles Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
JATM.BO,Jayatma Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,1.8589262,
JATT.BO,Jattashankar Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0,
JATX.PSX,J. A. Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,,
JAYB.BO,Jaybharat Textiles and Real Estate Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
JBFI.NS,JBF Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
JCTL.BO,J C T Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.7320793,
JEM.OQ,707 Cayman Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"3,965,034.58",,,,,,,,,,,,,,0,
JETK.NS,Jet Knitwears Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,,,,,,,,,,,,,,,0.5689882,
JEWL.PK,Adamas One Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,,,,,,,,,,,,,,,,,0.702966,
JINW.NS,Jindal Worldwide Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,100,22.64844942,,,,,,,,,,,,1.0071839,
JIWA.NS,Jiwanram Sheoduttrai Industries Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.6865716,
JJEX.BO,J J Exporters Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
JL.OQ,J-Long Group Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1058086,
JLMC.PK,JLM Couture Inc,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Americas,2025,,,,,,,,,,,,,,,,,0.0599599,
JOWM.AM,Jordan Worsted Mills Company Psc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"51,771,273.31",,,,,,,,,,,,,,0.0001901,
JRSH.OQ,Jerash Holdings (US) Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Americas,2025,,,,,,,,,,,,,,,,,0.0717755,
JSG.L,Johnson Service Group PLC,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,78.91,32.01,"585,838,453.55",100,47.26796073,43.79,28.8,33.16,82.31,23.72,71.43,91.92,36.39,29.94,52.54,32.94,0.4154448,39.94
KABO.CA,El Nasr Clothing and Textiles Company SAE,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Africa,2025,,,,,,,,,,,,,,,,,0.4686535,
KAKT.BO,Kakatiya Textiles Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
KALC.BO,Kalpa Commercial Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.0060128,
