Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD
COA.L_2022,2022,1195623352,0,0,100,73.38870424,0.6,0.23539,0.6048622,COA.L,Coats Group PLC,Textiles & Leather Goods,723187371.1,0.142378513,281437780.8,0.055408452,0.36,1.42952E+18,717374011.2
COA.L_2021,2021,1196259894,0,0,100,81.06951222,0.64,0.1158,0.9987457,COA.L,Coats Group PLC,Textiles & Leather Goods,1194759425,0.115654752,138526895.7,0.01340964,0.4096,1.43104E+18,765606332.2
COA.L_2020,2020,1094070943,0,0,100,84.0307347,0.7,0.3402,1.116074,COA.L,Coats Group PLC,Textiles & Leather Goods,1221064134,0.379688375,372202934.8,0.11573604,0.49,1.19699E+18,765849660.1
COA.L_2019,2019,1274849506,0,0,100,82.78865813,0.73,0.3608,1.1990632,COA.L,Coats Group PLC,Textiles & Leather Goods,1528625128,0.432622003,459965701.8,0.13017664,0.5329,1.62524E+18,930640139.4
COA.L_2018,2018,1294071752,0,0,100,80.74343035,0.7,0.5844,1.1598453,COA.L,Coats Group PLC,Textiles & Leather Goods,1500923039,0.677813593,756255531.9,0.34152336,0.49,1.67462E+18,905850226.4
COA.L_2017,2017,1419188729,0,0,100,79.68620415,0.55,0.3253,4.3769231,COA.L,Coats Group PLC,Textiles & Leather Goods,6211679931,1.423813084,461662093.5,0.10582009,0.3025,2.0141E+18,780553801
CFR.S_2025,2025,99497361004,1,1,33.92857143,68.06018871,0.61,0.1748,0.5916268,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,58865305299,0.103416365,17392138703,0.03055504,0.3721,9.89972E+21,60693390212
CFR.S_2024,2024,78823996080,0,0,100,63.59843699,0.65,0.21809,0.7914708,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,62386891237,0.172611867,17190725305,0.047563248,0.4225,6.21322E+21,51235597452
CFR.S_2023,2023,67004223587,1,0,71.42857143,69.04936105,0.75,0.1964,0.8239655,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,55209168590,0.161826824,13159629512,0.03857296,0.5625,4.48957E+21,50253167690
CFR.S_2022,2022,63264864042,0,0,100,76.77154422,0.73,0.1134,0.755475,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,47795023162,0.085670865,7174235582,0.01285956,0.5329,4.00244E+21,46183350751
CFR.S_2021,2021,69121144914,0,0,100,69.68045005,0.67,0.0754,0.7577164,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,52374225088,0.057131817,5211734327,0.00568516,0.4489,4.77773E+21,46311167092
CFR.S_2020,2020,38591422790,0,0,100,68.2152093,0.65,0.05769,0.5645171,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,21785518078,0.032566991,2226339181,0.003328136,0.4225,1.4893E+21,25084424814
CFR.S_2019,2019,36585880202,0,0,100,67.82647149,0.65,0.0929,0.4143436,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,15159125312,0.03849252,3398828271,0.00863041,0.4225,1.33853E+21,23780822131
CFR.S_2018,2018,29221120801,0,0,100,65.19465531,0.56,0.081,0.5594343,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,16347297261,0.045314178,2366910785,0.006561,0.3136,8.53874E+20,16363827649
CFR.S_2017,2017,39436777467,0,0,100,59.0911135,0.5,0.0792,0.1378067,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,5434652161,0.010914291,3123392775,0.00627264,0.25,1.55526E+21,19718388734
CFR.S_2016,2016,32904996738,0,0,100,61.03565558,0.47,0.1511,0.1646175,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,5416738301,0.024873704,4971945007,0.02283121,0.2209,1.08274E+21,15465348467
