Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD,Propensity_Score
GIL.TO_2020,2020,4539584844,0,0,100,81.72387205,0.92,0.1801,0.5050439,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,2292689634,0.090958406,817579230.4,0.03243601,0.8464,2.06E+19,4176418056,0.146969165
LEVI.N_2025,2025,6893535001,1,1,25,53.45725002,0.85,0.2503,0.5072317,LEVI.N,Levi Strauss & Co,Apparel & Accessories,3496619478,0.126960095,1725451811,0.06265009,0.7225,4.75E+19,5859504751,0.144846588
GIL.TO_2024,2024,7016986471,1,0,88.63636364,67.34304747,0.85,0.2358,0.5533,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,3882498614,0.13046814,1654605410,0.05560164,0.7225,4.92E+19,5964438500,0.144112271
BORG.ST_2024,2024,113201015.9,0,0,100,67.40199303,1,0.21988,0.1221406,BORG.ST,Bjorn Borg AB,Apparel & Accessories,13826440,0.026856275,24890639.38,0.048347214,1,1.28E+16,113201015.9,0.143848818
MONC.MI_2023,2023,15296761386,0,0,100,73.41395267,0.73,0.2247,0.3145035,MONC.MI,Moncler SpA,Apparel & Accessories,4810884995,0.070668936,3437182283,0.05049009,0.5329,2.34E+20,11166635812,0.143545584
VFC.N_2024,2024,8069880395,1,1,11.36363636,58.66710771,0.91,0.1258,3.5980879,VFC.N,VF Corp,Apparel & Accessories,29036139004,0.452639458,1015190954,0.01582564,0.8281,6.51E+19,7343591159,0.142473013
PVH.N_2017,2017,8799148613,0,0,100,74.41228148,0.85,0.1176,0.6694557,PVH.N,PVH Corp,Apparel & Accessories,5890640194,0.07872799,1034779877,0.01382976,0.7225,7.74E+19,7479276321,0.141440439
7936.T_2023,2023,5388525845,0,0,100,70.00475591,0.63,0.126,0.8093487,7936.T,Asics Corp,Footwear,4361196388,0.101977936,678954256.5,0.015876,0.3969,2.90E+19,3394771282,0.140175274
BORG.ST_2023,2023,100956754.9,0,0,100,60.01162205,1,0.15152,0.2513816,BORG.ST,Bjorn Borg AB,Apparel & Accessories,25378670.58,0.03808934,15296967.5,0.02295831,1,1.02E+16,100956754.9,0.139715948
GIL.TO_2021,2021,7241124467,0,0,100,84.83708775,0.91,-0.0214,0.6943781,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,5028078249,-0.014859691,-154960063.6,0.00045796,0.8281,5.24E+19,6589423265,0.138762906
HRMS.PA_2017,2017,47110350105,0,0,100,54.90646378,0.42,0.27086,0.0093505,HRMS.PA,Hermes International SCA,Apparel & Accessories,440505328.7,0.002532676,12760309429,0.07336514,0.1764,2.22E+21,19786347044,0.13746306
PVH.N_2016,2016,6803876887,0,0,100,79.27357907,0.86,0.1314,0.7016673,PVH.N,PVH Corp,Apparel & Accessories,4774057925,0.092199083,894029423,0.01726596,0.7396,4.63E+19,5851334123,0.137121798
OXM.N_2022,2022,1372924783,0,0,100,71.46299613,0.91,0.29519,0.0059094,OXM.N,Oxford Industries Inc,Apparel & Accessories,8113161.713,0.001744396,405273666.7,0.087137136,0.8281,1.88E+18,1249361553,0.135728432
PVH.N_2023,2023,6599283495,0,0,100,81.46481671,0.86,0.11519,0.4681908,PVH.N,PVH Corp,Apparel & Accessories,3089723819,0.053930898,760171465.8,0.013268736,0.7396,4.36E+19,5675383806,0.135572565
PVH.N_2019,2019,6843498087,0,0,100,70.7449173,0.85,0.1307,0.485981,PVH.N,PVH Corp,Apparel & Accessories,3325810044,0.063517717,894445200,0.01708249,0.7225,4.68E+19,5816973374,0.135163204
